samb01,samb02,samb03,samb04,samb05,samb06,samb07,samb08,samb09,samb10,samb11,samb12,samb13,samb14,samb15,samb16,samb17,samb18,samb19,gender,age,id,semester,ethnic,SAmb_tot
1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,18.02,1179,9,1,15
1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,18.13,1180,9,1,16
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,18,1181,9,1,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,1184,9,1,0
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18.11,1186,9,1,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,18.08,1187,9,1,19
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.72,1188,9,1,1
0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,22.42,1189,9,6,14
0,1,1,NA,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,18.48,1191,9,1,15
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,18,1221,9,2,3
0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,19.51,1222,9,1,7
0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,18.39,1223,9,1,10
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,20.09,1224,9,NA,4
0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,18.93,1225,9,1,8
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.08,1226,9,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.67,1227,9,1,0
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,18.03,1228,9,1,6
1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,NA,1229,9,1,10
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54.06,1230,9,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.01,1231,9,1,1
0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,21.96,1232,9,1,10
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.36,1233,9,1,3
